route,distance,speed
"['ATL', 'BOS']",946,7.336627141
"['ATL', 'CLT']",226,5.318383167
"['ATL', 'DEN']",1199,7.760760074
"['ATL', 'DFW']",731,7.10008446
"['ATL', 'DTW']",594,6.647036759
"['ATL', 'EWR']",746,7.115087656
"['ATL', 'LAX']",1947,8.119237957
"['ATL', 'LGA']",762,7.143958644
"['ATL', 'MCO']",404,6.573015873
"['ATL', 'MIA']",594,6.947606019
"['ATL', 'MSP']",907,7.686440678
"['ATL', 'ORD']",606,6.74666007
"['ATL', 'PHL']",666,6.949565218
"['ATL', 'SFO']",2139,8.220877425
"['BOS', 'DFW']",1562,8.352941176
"['BOS', 'EWR']",200,4.460784314
"['BOS', 'LAX']",2611,8.161909755
"['BOS', 'LGA']",184,4.421052632
"['BOS', 'ORD']",867,7.26251298
"['BOS', 'PHL']",280,4.967320261
"['BOS', 'SFO']",2704,8.216212258
"['CLT', 'LGA']",544,6.578088578
"['DEN', 'DFW']",646,6.990350877
"['DEN', 'LAS']",628,6.422727272
"['DEN', 'LAX']",862,7.570724191
"['DEN', 'MSP']",680,7.254568153
"['DEN', 'ORD']",888,7.460348707
"['DEN', 'PHX']",602,7.182954546
"['DEN', 'SEA']",1024,7.490955523
"['DEN', 'SFO']",967,7.753864905
"['DFW', 'LAS']",1067,7.591815109
"['DFW', 'LAX']",1235,7.764999212
"['DFW', 'LGA']",1389,7.563171408
"['DFW', 'ORD']",801,7.225599349
"['DFW', 'PHL']",1303,6.795490968
"['DFW', 'SFO']",1470,7.741615181
"['DTW', 'LGA']",502,6.37998713
"['DTW', 'ORD']",235,4.84587585
"['EWR', 'LAX']",2454,8.208408469
"['EWR', 'MCO']",937,7.294589847
"['EWR', 'ORD']",719,7.01910017
"['EWR', 'SFO']",2565,8.267451575
"['IAH', 'LAX']",1379,7.93129532
"['IAH', 'ORD']",925,7.242476144
"['JFK', 'LAS']",2248,7.248085124
"['JFK', 'LAX']",2475,7.979986958
"['JFK', 'MCO']",944,7.044776119
"['JFK', 'MIA']",1096,7.358687816
"['JFK', 'SFO']",2586,8.041538698
"['LAS', 'LAX']",236,5.244444444
"['LAS', 'ORD']",1514,7.367789145
"['LAS', 'SFO']",375.5,6.298011364
"['LAX', 'ORD']",1744,8.003864735
"['LAX', 'SEA']",954,7.208314325
"['LAX', 'SFO']",337,6.072564935
"['LGA', 'MIA']",1096,7.506849315
"['LGA', 'ORD']",733,6.910829148
"['MCO', 'PHL']",861,7.235805085
"['MSP', 'ORD']",334,5.765476191
"['ORD', 'PHL']",678,6.977213063
"['ORD', 'PHX']",1440,7.835319099
"['ORD', 'SEA']",1721,7.881512938
"['ORD', 'SFO']",1846,8.080431051
"['SEA', 'SFO']",679,6.859285715
